131	2.57E-12	3.39E-24
132	2.90E-12	4.39E-24
133	3.33E-12	5.89E-24
134	3.51E-12	6.63E-24
135	3.36E-12	6.18E-24
136	3.41E-12	6.46E-24
137	3.21E-12	5.79E-24
138	2.50E-12	3.56E-24
139	2.24E-12	2.90E-24
140	2.26E-12	3.01E-24
141	2.18E-12	2.83E-24
142	2.40E-12	3.48E-24
143	2.61E-12	4.19E-24
144	2.49E-12	3.86E-24
145	2.27E-12	3.26E-24
146	2.54E-12	4.14E-24
147	3.01E-12	5.88E-24
148	3.26E-12	6.96E-24
149	3.12E-12	6.49E-24
150	2.78E-12	5.21E-24
151	3.15E-12	6.79E-24
152	3.59E-12	8.91E-24
153	3.04E-12	6.48E-24
154	2.91E-12	6.03E-24
155	3.57E-12	9.17E-24
156	4.02E-12	1.18E-23
157	3.54E-12	9.27E-24
158	3.47E-12	9.00E-24
159	4.01E-12	1.22E-23
160	3.73E-12	1.07E-23
161	3.30E-12	8.49E-24
162	3.35E-12	8.83E-24
163	3.19E-12	8.10E-24
164	2.92E-12	6.86E-24
165	2.81E-12	6.45E-24
166	2.90E-12	6.96E-24
167	3.17E-12	8.39E-24
168	3.64E-12	1.12E-23
169	3.77E-12	1.22E-23
170	3.31E-12	9.51E-24
171	3.26E-12	9.32E-24
172	3.06E-12	8.32E-24
173	2.65E-12	6.31E-24
174	2.77E-12	6.98E-24
175	3.21E-12	9.49E-24
176	3.62E-12	1.22E-23
177	3.71E-12	1.29E-23
178	3.84E-12	1.40E-23
179	3.98E-12	1.52E-23
180	4.04E-12	1.59E-23
181	4.17E-12	1.71E-23
182	3.60E-12	1.29E-23
183	3.40E-12	1.16E-23
184	3.80E-12	1.47E-23
185	3.91E-12	1.57E-23
186	3.93E-12	1.60E-23
187	3.60E-12	1.36E-23
188	3.44E-12	1.25E-23
189	3.37E-12	1.21E-23
190	3.31E-12	1.19E-23
191	3.39E-12	1.26E-23
192	4.07E-12	1.83E-23
193	4.95E-12	2.74E-23
194	5.56E-12	3.49E-23
195	4.79E-12	2.61E-23
196	3.47E-12	1.39E-23
197	2.93E-12	9.97E-24
198	2.95E-12	1.02E-23
199	2.85E-12	9.63E-24
200	2.95E-12	1.04E-23
201	2.54E-12	7.82E-24
202	3.16E-12	1.22E-23
203	2.99E-12	1.11E-23
204	2.43E-12	7.36E-24
205	2.19E-12	6.05E-24
206	2.09E-12	5.54E-24
207	2.29E-12	6.73E-24
208	2.59E-12	8.72E-24
